Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.No Logging.10_000,27606100700,1370839808,10494885,2119,11534336
All.No Logging.100_000,261906442000,6597241294,94906298,13734,40894464
All.No Logging.1_000_000,3117721651400,175269916184,1038956306,115146,569376768
All.Basic Logging.10_000,34654536525,2540855558,11042490,1858,569376768
All.Basic Logging.100_000,299869623100,13000544836,96579448,11800,569376768
All.Basic Logging.1_000_000,3300146686200,167507704492,1019387733,150154,570425344
All.Command Logging.10_000,67771228200,4712225256,64094286,11024,570425344
All.Command Logging.100_000,832537032900,12418744992,646278186,81711,570425344
All.Command Logging.1_000_000,8128935358800,384756802858,6601303994,762424,570425344
All.File Logging.10_000,205134086900,11688485440,156957892,16215,570425344
All.File Logging.100_000,786908778200,20595069766,714117800,67488,570425344
All.File Logging.1_000_000,7367330992000,408158866002,6346577266,574769,570425344
